keySpace.keys,keySpace.rt,instructions.thisRepN,instructions.thisTrialN,instructions.thisN,instructions.thisIndex,instructions.ran,participant,date,expName,psychopyVersion,OS,frameRate,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,widthBasketLeft,heightBasketLeft,widthBasketRight,heightBasketRight,leftLake,rightLake,space2.keys,space2.rt,space1.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,space1.rt,finalSpace1.keys,finalSpace1.rt,finalSpace2.keys,finalSpace2.rt
space,1.905285,0,0,0,0,1,$5f0e53273571b70008aba3c4,2020-07-21_16h18.35.954,fisher_task,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,0,1,0,1,$5f0e53273571b70008aba3c4,2020-07-21_16h18.35.954,fisher_task,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,$5f0e53273571b70008aba3c4,2020-07-21_16h18.35.954,fisher_task,2020.1.3,Win32,60,0.165941455,-0.388724279,1,0,0,3.23634,scale,0,0,0,0,1,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/training/20_left.png,stimuli/training/20_right.png,,,,,,,,,,,,,
,,,,,,,$5f0e53273571b70008aba3c4,2020-07-21_16h18.35.954,fisher_task,2020.1.3,Win32,60,-0.165478641,-0.406313557,1,0,0,2.85265,scale,0,1,1,1,1,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/training/80_left.png,stimuli/training/80_right.png,,,,,,,,,,,,,
,,,,,,,$5f0e53273571b70008aba3c4,2020-07-21_16h18.35.954,fisher_task,2020.1.3,Win32,60,0.147426365,-0.328550239,1,0,0,3.469615,scale,0,2,2,2,1,0.174513954,0.141421356,0.349027907,0.282842712,stimuli/training/50_left.png,stimuli/training/50_right.png,,,,,,,,,,,,,
,,,,,,,$5f0e53273571b70008aba3c4,2020-07-21_16h18.35.954,fisher_task,2020.1.3,Win32,60,-0.164552886,-0.354471364,1,0,0,2.785245,scale,0,3,3,3,1,0.349027907,0.282842712,0.174513954,0.141421356,stimuli/training/50_left.png,stimuli/training/50_right.png,,,,,,,,,,,,,
,,,,,,,$5f0e53273571b70008aba3c4,2020-07-21_16h18.35.954,fisher_task,2020.1.3,Win32,60,0.065034219,-0.261895861,1,0,0,3.35324,scale,0,4,4,4,1,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/training/50_left.png,stimuli/training/50_right.png,,,,,,,,,,,,,
,,,,,,,$5f0e53273571b70008aba3c4,2020-07-21_16h18.35.954,fisher_task,2020.1.3,Win32,60,0.183530789,-0.406313557,1,0,0,1.85148,scale,0,5,5,5,1,0.174513954,0.141421356,0.349027907,0.282842712,stimuli/training/20_left.png,stimuli/training/20_right.png,,,,,,,,,,,,,
,,,,,,,$5f0e53273571b70008aba3c4,2020-07-21_16h18.35.954,fisher_task,2020.1.3,Win32,60,-0.171958922,-0.417422667,1,0,0,2.318705,scale,0,6,6,6,1,0.349027907,0.282842712,0.174513954,0.141421356,stimuli/training/80_left.png,stimuli/training/80_right.png,,,,,,,,,,,,,
,,,,,,,$5f0e53273571b70008aba3c4,2020-07-21_16h18.35.954,fisher_task,2020.1.3,Win32,60,0.174273245,-0.380392488,1,0,0,1.784575,scale,0,7,7,7,1,0.1234,0.1,0.3702,0.3,stimuli/training/30_left.png,stimuli/training/30_right.png,,,,,,,,,,,,,
,,,,,,,$5f0e53273571b70008aba3c4,2020-07-21_16h18.35.954,fisher_task,2020.1.3,Win32,60,-0.156221096,-0.347991082,1,0,0,2.218445,scale,0,8,8,8,1,0.3702,0.3,0.1234,0.1,stimuli/training/70_left.png,stimuli/training/70_right.png,,,,,,,,,,,,,
,,,,,,,$5f0e53273571b70008aba3c4,2020-07-21_16h18.35.954,fisher_task,2020.1.3,Win32,60,-0.164552886,-0.41186814,1,0,0,2.10181,scale,0,9,9,9,1,0.326485712,0.264575131,0.21373507,0.173205081,stimuli/training/90_left.png,stimuli/training/90_right.png,,,,,,,,,,,,,
,,,,,,,$5f0e53273571b70008aba3c4,2020-07-21_16h18.35.954,fisher_task,2020.1.3,Win32,60,0.179827658,-0.397056069,1,0,0,2.802955,scale,0,10,10,10,1,0.21373507,0.173205081,0.326485712,0.264575131,stimuli/training/10_left.png,stimuli/training/10_right.png,,,,,,,,,,,,,
,,,,,,,$5f0e53273571b70008aba3c4,2020-07-21_16h18.35.954,fisher_task,2020.1.3,Win32,60,0.139094575,-0.308183641,1,0,0,3.47024,scale,,,,,,0.21373507,0.173205081,0.326485712,0.264575131,stimuli/lakes/305062_left.png,stimuli/lakes/305062_right.png,space,5.068115,,0,0,0,62,1,,,,,
,,,,,,,$5f0e53273571b70008aba3c4,2020-07-21_16h18.35.954,fisher_task,2020.1.3,Win32,60,0.160386928,-0.351694044,1,0,0,2.25217,scale,,,,,,0.1234,0.1,0.3702,0.3,stimuli/lakes/103023_left.png,stimuli/lakes/103023_right.png,,,,0,1,1,23,1,,,,,
,,,,,,,$5f0e53273571b70008aba3c4,2020-07-21_16h18.35.954,fisher_task,2020.1.3,Win32,60,-0.081234985,-0.244306583,1,0,0,6.422225,scale,,,,,,0.349027907,0.282842712,0.174513954,0.141421356,stimuli/lakes/803030_left.png,stimuli/lakes/803030_right.png,,,,0,2,2,30,1,,,,,
,,,,,,,$5f0e53273571b70008aba3c4,2020-07-21_16h18.35.954,fisher_task,2020.1.3,Win32,60,0.171495981,-0.366506172,1,0,0,3.33627,scale,,,,,,0.2468,0.2,0.302267034,0.244948974,stimuli/lakes/402014_left.png,stimuli/lakes/402014_right.png,,,,0,3,3,14,1,,,,,
,,,,,,,$5f0e53273571b70008aba3c4,2020-07-21_16h18.35.954,fisher_task,2020.1.3,Win32,60,-0.141409025,-0.298926096,1,0,0,2.75196,scale,,,,,,0.349027907,0.282842712,0.174513954,0.141421356,stimuli/lakes/804057_left.png,stimuli/lakes/804057_right.png,,,,0,4,4,57,1,,,,,
,,,,,,,$5f0e53273571b70008aba3c4,2020-07-21_16h18.35.954,fisher_task,2020.1.3,Win32,60,-0.162701378,-0.352619855,1,0,0,2.602175,scale,,,,,,0.349027907,0.282842712,0.174513954,0.141421356,stimuli/lakes/8070105_left.png,stimuli/lakes/8070105_right.png,,,,0,5,5,105,1,,,,,
,,,,,,,$5f0e53273571b70008aba3c4,2020-07-21_16h18.35.954,fisher_task,2020.1.3,Win32,60,-0.158998416,-0.367431926,1,0,0,2.85193,scale,,,,,,0.326485712,0.264575131,0.21373507,0.173205081,stimuli/lakes/707095_left.png,stimuli/lakes/707095_right.png,,,,0,6,6,95,1,,,,,
,,,,,,,$5f0e53273571b70008aba3c4,2020-07-21_16h18.35.954,fisher_task,2020.1.3,Win32,60,-0.087715323,-0.253564128,1,0,0,4.921225,scale,,,,,,0.2468,0.2,0.302267034,0.244948974,stimuli/lakes/4090124_left.png,stimuli/lakes/4090124_right.png,,,,0,7,7,124,1,,,,,
,,,,,,,$5f0e53273571b70008aba3c4,2020-07-21_16h18.35.954,fisher_task,2020.1.3,Win32,60,-0.085863814,-0.264673181,1,0,0,3.38396,scale,,,,,,0.21373507,0.173205081,0.326485712,0.264575131,stimuli/lakes/3090121_left.png,stimuli/lakes/3090121_right.png,,,,0,8,8,121,1,,,,,
,,,,,,,$5f0e53273571b70008aba3c4,2020-07-21_16h18.35.954,fisher_task,2020.1.3,Win32,60,-0.128448519,-0.281336762,1,0,0,4.387135,scale,,,,,,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/lakes/506075_left.png,stimuli/lakes/506075_right.png,,,,0,9,9,75,1,,,,,
,,,,,,,$5f0e53273571b70008aba3c4,2020-07-21_16h18.35.954,fisher_task,2020.1.3,Win32,60,0.133540049,-0.298926096,1,0,0,7.64049,scale,,,,,,0.3702,0.3,0.1234,0.1,stimuli/lakes/901010_left.png,stimuli/lakes/901010_right.png,,,,0,10,10,10,1,,,,,
