keySpace.keys,instructions.thisRepN,instructions.thisTrialN,instructions.thisN,instructions.thisIndex,instructions.ran,participant,date,expName,psychopyVersion,OS,frameRate,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,widthBasketLeft,heightBasketLeft,widthBasketRight,heightBasketRight,leftLake,rightLake,space2.keys,space2.rt,space1.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,space1.rt,finalSpace1.keys,finalSpace1.rt,finalSpace2.keys,finalSpace2.rt
,0,0,0,0,1,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,0.173148148,-0.427777778,1,0,0,2.61438,scale,0,0,0,0,1,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/training/20_left.png,stimuli/training/20_right.png,,,,,,,,,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,-0.165740741,-0.431481481,1,0,0,1.7973,scale,0,1,1,1,1,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/training/80_left.png,stimuli/training/80_right.png,,,,,,,,,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,0.138888889,-0.365740741,1,0,0,2.265135,scale,0,2,2,2,1,0.174513954,0.141421356,0.349027907,0.282842712,stimuli/training/50_left.png,stimuli/training/50_right.png,,,,,,,,,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,0.028703704,-0.257407407,1,0,0,6.043085,scale,0,3,3,3,1,0.349027907,0.282842712,0.174513954,0.141421356,stimuli/training/50_left.png,stimuli/training/50_right.png,,,,,,,,,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,-0.081481481,-0.275925926,1,0,0,2.630065,scale,0,4,4,4,1,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/training/50_left.png,stimuli/training/50_right.png,,,,,,,,,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,0.153703704,-0.427777778,1,0,0,1.747675,scale,0,5,5,5,1,0.174513954,0.141421356,0.349027907,0.282842712,stimuli/training/20_left.png,stimuli/training/20_right.png,,,,,,,,,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,-0.167592593,-0.425,1,0,0,2.53022,scale,0,6,6,6,1,0.349027907,0.282842712,0.174513954,0.141421356,stimuli/training/80_left.png,stimuli/training/80_right.png,,,,,,,,,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,0.151851852,-0.42962963,1,0,0,1.313975,scale,0,7,7,7,1,0.1234,0.1,0.3702,0.3,stimuli/training/30_left.png,stimuli/training/30_right.png,,,,,,,,,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,-0.140740741,-0.426851852,1,0,0,1.248365,scale,0,8,8,8,1,0.3702,0.3,0.1234,0.1,stimuli/training/70_left.png,stimuli/training/70_right.png,,,,,,,,,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,-0.136111111,-0.425,1,0,0,1.36487,scale,0,9,9,9,1,0.326485712,0.264575131,0.21373507,0.173205081,stimuli/training/90_left.png,stimuli/training/90_right.png,,,,,,,,,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,0.153703704,-0.425,1,0,0,1.31457,scale,0,10,10,10,1,0.21373507,0.173205081,0.326485712,0.264575131,stimuli/training/10_left.png,stimuli/training/10_right.png,,,,,,,,,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,0.157407407,-0.350925926,1,0,0,1.582555,scale,,,,,,0.21373507,0.173205081,0.326485712,0.264575131,stimuli/lakes/305062_left.png,stimuli/lakes/305062_right.png,space,4.604245,,0,0,0,62,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,0.15462963,-0.421296296,1,0,0,1.46525,scale,,,,,,0.302267034,0.244948974,0.2468,0.2,stimuli/lakes/603028_left.png,stimuli/lakes/603028_right.png,,,,0,1,1,28,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,-0.093518519,-0.264814815,1,0,0,2.996365,scale,,,,,,0.174513954,0.141421356,0.349027907,0.282842712,stimuli/lakes/206081_left.png,stimuli/lakes/206081_right.png,,,,0,2,2,81,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,-0.15,-0.374074074,1,0,0,3.062955,scale,,,,,,0.3702,0.3,0.1234,0.1,stimuli/lakes/905070_left.png,stimuli/lakes/905070_right.png,,,,0,3,3,70,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,-0.160185185,-0.424074074,1,0,0,1.28051,scale,,,,,,0.349027907,0.282842712,0.174513954,0.141421356,stimuli/lakes/8070105_left.png,stimuli/lakes/8070105_right.png,,,,0,4,4,105,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,0.087962963,-0.266666667,1,0,0,3.39644,scale,,,,,,0.326485712,0.264575131,0.21373507,0.173205081,stimuli/lakes/705068_left.png,stimuli/lakes/705068_right.png,,,,0,5,5,68,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,0.169444444,-0.413888889,1,0,0,1.53125,scale,,,,,,0.302267034,0.244948974,0.2468,0.2,stimuli/lakes/603037_left.png,stimuli/lakes/603037_right.png,,,,0,6,6,37,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,-0.140740741,-0.428703704,1,0,0,0.999315,scale,,,,,,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/lakes/5090125_left.png,stimuli/lakes/5090125_right.png,,,,0,7,7,125,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,-0.160185185,-0.436111111,1,0,0,0.968235,scale,,,,,,0.326485712,0.264575131,0.21373507,0.173205081,stimuli/lakes/7090129_left.png,stimuli/lakes/7090129_right.png,,,,0,8,8,129,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,-0.17037037,-0.424074074,1,0,0,1.06436,scale,,,,,,0.21373507,0.173205081,0.326485712,0.264575131,stimuli/lakes/3090122_left.png,stimuli/lakes/3090122_right.png,,,,0,9,9,122,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,-0.130555556,-0.427777778,1,0,0,1.165235,scale,,,,,,0.3702,0.3,0.1234,0.1,stimuli/lakes/906079_left.png,stimuli/lakes/906079_right.png,,,,0,10,10,79,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,0.141666667,-0.431481481,1,0,0,1.081635,scale,,,,,,0.326485712,0.264575131,0.21373507,0.173205081,stimuli/lakes/702020_left.png,stimuli/lakes/702020_right.png,,,,0,11,11,20,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,-0.143518519,-0.424074074,1,0,0,0.849005,scale,,,,,,0.3702,0.3,0.1234,0.1,stimuli/lakes/9070106_left.png,stimuli/lakes/9070106_right.png,,,,0,12,12,106,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,-0.174074074,-0.430555556,1,0,0,0.96557,scale,,,,,,0.21373507,0.173205081,0.326485712,0.264575131,stimuli/lakes/3080110_left.png,stimuli/lakes/3080110_right.png,,,,0,13,13,110,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,-0.174074074,-0.430555556,1,0,0,0.582495,scale,,,,,,0.302267034,0.244948974,0.2468,0.2,stimuli/lakes/6090126_left.png,stimuli/lakes/6090126_right.png,,,,0,14,14,126,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,-0.142592593,-0.437962963,1,0,0,1.4155,scale,,,,,,0.349027907,0.282842712,0.174513954,0.141421356,stimuli/lakes/806087_left.png,stimuli/lakes/806087_right.png,,,,0,15,15,87,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,0.155555556,-0.431481481,1,0,0,1.8302,scale,,,,,,0.302267034,0.244948974,0.2468,0.2,stimuli/lakes/602018_left.png,stimuli/lakes/602018_right.png,,,,0,16,16,18,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,-0.125,-0.434259259,1,0,0,2.179455,scale,,,,,,0.302267034,0.244948974,0.2468,0.2,stimuli/lakes/606076_left.png,stimuli/lakes/606076_right.png,,,,0,17,17,76,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,-0.10462963,-0.314814815,1,0,0,2.097875,scale,,,,,,0.2468,0.2,0.302267034,0.244948974,stimuli/lakes/4080112_left.png,stimuli/lakes/4080112_right.png,,,,0,18,18,112,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,0.122222222,-0.424074074,1,0,0,1.28066,scale,,,,,,0.349027907,0.282842712,0.174513954,0.141421356,stimuli/lakes/803039_left.png,stimuli/lakes/803039_right.png,,,,0,19,19,39,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,-0.125925926,-0.42962963,1,0,0,1.217025,scale,,,,,,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/lakes/506084_left.png,stimuli/lakes/506084_right.png,,,,0,20,20,84,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,-0.127777778,-0.430555556,1,0,0,0.73207,scale,,,,,,0.326485712,0.264575131,0.21373507,0.173205081,stimuli/lakes/706086_left.png,stimuli/lakes/706086_right.png,,,,0,21,21,86,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,0.17037037,-0.434259259,1,0,0,1.148815,scale,,,,,,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/lakes/504054_left.png,stimuli/lakes/504054_right.png,,,space,0,22,22,54,1,2.62842,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,0.136111111,-0.318518519,1,0,0,1.282045,scale,,,,,,0.2468,0.2,0.302267034,0.244948974,stimuli/lakes/404044_left.png,stimuli/lakes/404044_right.png,,,,0,23,23,44,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,0.137037037,-0.461111111,1,0,0,0.864635,scale,,,,,,0.174513954,0.141421356,0.349027907,0.282842712,stimuli/lakes/205060_left.png,stimuli/lakes/205060_right.png,,,,0,24,24,60,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,0.12037037,-0.301851852,1,0,0,2.047885,scale,,,,,,0.326485712,0.264575131,0.21373507,0.173205081,stimuli/lakes/704056_left.png,stimuli/lakes/704056_right.png,,,,0,25,25,56,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,0.135185185,-0.42962963,1,0,0,0.998605,scale,,,,,,0.21373507,0.173205081,0.326485712,0.264575131,stimuli/lakes/303025_left.png,stimuli/lakes/303025_right.png,,,,0,26,26,25,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,0.14537037,-0.410185185,1,0,0,1.21536,scale,,,,,,0.349027907,0.282842712,0.174513954,0.141421356,stimuli/lakes/80109_left.png,stimuli/lakes/80109_right.png,,,,0,27,27,9,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,0.141666667,-0.389814815,1,0,0,1.231585,scale,,,,,,0.326485712,0.264575131,0.21373507,0.173205081,stimuli/lakes/703038_left.png,stimuli/lakes/703038_right.png,,,,0,28,28,38,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,0.143518519,-0.376851852,1,0,0,1.381585,scale,,,,,,0.3702,0.3,0.1234,0.1,stimuli/lakes/903031_left.png,stimuli/lakes/903031_right.png,,,,0,29,29,31,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,-0.041666667,-0.258333333,1,0,0,2.166215,scale,,,,,,0.21373507,0.173205081,0.326485712,0.264575131,stimuli/lakes/305061_left.png,stimuli/lakes/305061_right.png,,,,0,30,30,61,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,-0.161111111,-0.388888889,1,0,0,1.99758,scale,,,,,,0.326485712,0.264575131,0.21373507,0.173205081,stimuli/lakes/706077_left.png,stimuli/lakes/706077_right.png,,,,0,31,31,77,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,-0.160185185,-0.437037037,1,0,0,0.98092,scale,,,,,,0.349027907,0.282842712,0.174513954,0.141421356,stimuli/lakes/8080118_left.png,stimuli/lakes/8080118_right.png,,,,0,32,32,118,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,0.132407407,-0.311111111,1,0,0,1.91456,scale,,,,,,0.1234,0.1,0.3702,0.3,stimuli/lakes/105059_left.png,stimuli/lakes/105059_right.png,,,,0,33,33,59,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,-0.176851852,-0.42962963,1,0,0,1.89817,scale,,,,,,0.2468,0.2,0.302267034,0.244948974,stimuli/lakes/407092_left.png,stimuli/lakes/407092_right.png,,,,0,34,34,92,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,-0.065740741,-0.287037037,1,0,0,3.330075,scale,,,,,,0.2468,0.2,0.302267034,0.244948974,stimuli/lakes/405063_left.png,stimuli/lakes/405063_right.png,,,,0,35,35,63,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,-0.148148148,-0.431481481,1,0,0,1.348545,scale,,,,,,0.174513954,0.141421356,0.349027907,0.282842712,stimuli/lakes/2090120_left.png,stimuli/lakes/2090120_right.png,,,,0,36,36,120,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,0.124074074,-0.42962963,1,0,0,1.115605,scale,,,,,,0.2468,0.2,0.302267034,0.244948974,stimuli/lakes/40102_left.png,stimuli/lakes/40102_right.png,,,,0,37,37,2,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,-0.130555556,-0.428703704,1,0,0,1.631315,scale,,,,,,0.21373507,0.173205081,0.326485712,0.264575131,stimuli/lakes/306082_left.png,stimuli/lakes/306082_right.png,,,,0,38,38,82,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,0.158333333,-0.438888889,1,0,0,1.36517,scale,,,,,,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/lakes/50104_left.png,stimuli/lakes/50104_right.png,,,,0,39,39,4,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,0.147222222,-0.32962963,1,0,0,1.181965,scale,,,,,,0.349027907,0.282842712,0.174513954,0.141421356,stimuli/lakes/803030_left.png,stimuli/lakes/803030_right.png,,,,0,40,40,30,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,-0.123148148,-0.350925926,1,0,0,1.63004,scale,,,,,,0.21373507,0.173205081,0.326485712,0.264575131,stimuli/lakes/3070100_left.png,stimuli/lakes/3070100_right.png,,,,0,41,41,100,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,0.144444444,-0.413888889,1,0,0,1.298145,scale,,,,,,0.302267034,0.244948974,0.2468,0.2,stimuli/lakes/60106_left.png,stimuli/lakes/60106_right.png,,,,0,42,42,6,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,-0.175925926,-0.417592593,1,0,0,1.54798,scale,,,,,,0.326485712,0.264575131,0.21373507,0.173205081,stimuli/lakes/7080117_left.png,stimuli/lakes/7080117_right.png,,,,0,43,43,117,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,0.148148148,-0.440740741,1,0,0,1.33097,scale,,,,,,0.326485712,0.264575131,0.21373507,0.173205081,stimuli/lakes/702019_left.png,stimuli/lakes/702019_right.png,,,space,0,44,44,19,1,1.280815,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,0.148148148,-0.440740741,1,0,0,0.682425,scale,,,,,,0.174513954,0.141421356,0.349027907,0.282842712,stimuli/lakes/202011_left.png,stimuli/lakes/202011_right.png,,,,0,45,45,11,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,0.148148148,-0.440740741,1,0,0,0.499385,scale,,,,,,0.174513954,0.141421356,0.349027907,0.282842712,stimuli/lakes/203024_left.png,stimuli/lakes/203024_right.png,,,,0,46,46,24,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,0.14537037,-0.434259259,1,0,0,0.915705,scale,,,,,,0.326485712,0.264575131,0.21373507,0.173205081,stimuli/lakes/70107_left.png,stimuli/lakes/70107_right.png,,,,0,47,47,7,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,-0.125,-0.428703704,1,0,0,0.965755,scale,,,,,,0.349027907,0.282842712,0.174513954,0.141421356,stimuli/lakes/807096_left.png,stimuli/lakes/807096_right.png,,,,0,48,48,96,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,-0.084259259,-0.272222222,1,0,0,2.330125,scale,,,,,,0.326485712,0.264575131,0.21373507,0.173205081,stimuli/lakes/705067_left.png,stimuli/lakes/705067_right.png,,,,0,49,49,67,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,-0.157407407,-0.432407407,1,0,0,1.1821,scale,,,,,,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/lakes/5080113_left.png,stimuli/lakes/5080113_right.png,,,,0,50,50,113,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,-0.157407407,-0.431481481,1,0,0,0.650385,scale,,,,,,0.326485712,0.264575131,0.21373507,0.173205081,stimuli/lakes/7070104_left.png,stimuli/lakes/7070104_right.png,,,,0,51,51,104,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,0.148148148,-0.432407407,1,0,0,1.013735,scale,,,,,,0.2468,0.2,0.302267034,0.244948974,stimuli/lakes/402015_left.png,stimuli/lakes/402015_right.png,,,,0,52,52,15,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,0.15,-0.431481481,1,0,0,0.482265,scale,,,,,,0.21373507,0.173205081,0.326485712,0.264575131,stimuli/lakes/30100_left.png,stimuli/lakes/30100_right.png,,,,0,53,53,0,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,0.107407407,-0.290740741,1,0,0,1.94744,scale,,,,,,0.326485712,0.264575131,0.21373507,0.173205081,stimuli/lakes/704047_left.png,stimuli/lakes/704047_right.png,,,,0,54,54,47,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,0.17037037,-0.427777778,1,0,0,1.11539,scale,,,,,,0.21373507,0.173205081,0.326485712,0.264575131,stimuli/lakes/30101_left.png,stimuli/lakes/30101_right.png,,,,0,55,55,1,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,-0.135185185,-0.427777778,1,0,0,0.98122,scale,,,,,,0.2468,0.2,0.302267034,0.244948974,stimuli/lakes/4090124_left.png,stimuli/lakes/4090124_right.png,,,,0,56,56,124,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,0.161111111,-0.434259259,1,0,0,1.09938,scale,,,,,,0.349027907,0.282842712,0.174513954,0.141421356,stimuli/lakes/802021_left.png,stimuli/lakes/802021_right.png,,,,0,57,57,21,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,0.162037037,-0.433333333,1,0,0,0.5491,scale,,,,,,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/lakes/503027_left.png,stimuli/lakes/503027_right.png,,,,0,58,58,27,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,-0.100925926,-0.278703704,1,0,0,1.598225,scale,,,,,,0.302267034,0.244948974,0.2468,0.2,stimuli/lakes/605065_left.png,stimuli/lakes/605065_right.png,,,,0,59,59,65,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,0.137962963,-0.435185185,1,0,0,0.982365,scale,,,,,,0.1234,0.1,0.3702,0.3,stimuli/lakes/103032_left.png,stimuli/lakes/103032_right.png,,,,0,60,60,32,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,-0.141666667,-0.347222222,1,0,0,1.947725,scale,,,,,,0.21373507,0.173205081,0.326485712,0.264575131,stimuli/lakes/306073_left.png,stimuli/lakes/306073_right.png,,,,0,61,61,73,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,-0.169444444,-0.447222222,1,0,0,1.165815,scale,,,,,,0.302267034,0.244948974,0.2468,0.2,stimuli/lakes/6070103_left.png,stimuli/lakes/6070103_right.png,,,,0,62,62,103,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,-0.167592593,-0.430555556,1,0,0,0.74897,scale,,,,,,0.302267034,0.244948974,0.2468,0.2,stimuli/lakes/6080115_left.png,stimuli/lakes/6080115_right.png,,,,0,63,63,115,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,-0.098148148,-0.284259259,1,0,0,1.547775,scale,,,,,,0.1234,0.1,0.3702,0.3,stimuli/lakes/106080_left.png,stimuli/lakes/106080_right.png,,,,0,64,64,80,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,0.162962963,-0.42962963,1,0,0,1.3985,scale,,,,,,0.1234,0.1,0.3702,0.3,stimuli/lakes/103023_left.png,stimuli/lakes/103023_right.png,,,,0,65,65,23,1,,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,0.136111111,-0.439814815,1,0,0,1.198845,scale,,,,,,0.1234,0.1,0.3702,0.3,stimuli/lakes/104041_left.png,stimuli/lakes/104041_right.png,,,space,0,66,66,41,1,1.44937,,,,
,,,,,,$5d464c8a4bfe160001692125,2020-07-21_07h35.03.736,fisher_task,2020.1.3,Win32,60,0.140740741,-0.378703704,1,0,0,1.964575,scale,,,,,,0.3702,0.3,0.1234,0.1,stimuli/lakes/901010_left.png,stimuli/lakes/901010_right.png,,,,0,67,67,10,1,,,,,
