keySpace.keys,instructions.thisRepN,instructions.thisTrialN,instructions.thisN,instructions.thisIndex,instructions.ran,participant,date,expName,psychopyVersion,OS,frameRate,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,widthBasketLeft,heightBasketLeft,widthBasketRight,heightBasketRight,leftLake,rightLake,space2.keys,space2.rt,space1.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,space1.rt,finalSpace1.keys,finalSpace1.rt,finalSpace2.keys,finalSpace2.rt
,0,0,0,0,1,$2516048461,2020-07-08_20h06.35.641,fisher_task,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,$2516048461,2020-07-08_20h06.35.641,fisher_task,2020.1.3,Win32,60,0.169444444,-0.348148148,1,0,0,6.114745,scale,0,0,0,0,1,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/training/20_left.png,stimuli/training/20_right.png,,,,,,,,,,,,,
,,,,,,$2516048461,2020-07-08_20h06.35.641,fisher_task,2020.1.3,Win32,60,-0.149074074,-0.344444444,1,0,0,3.54847,scale,0,1,1,1,1,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/training/80_left.png,stimuli/training/80_right.png,,,,,,,,,,,,,
,,,,,,$2516048461,2020-07-08_20h06.35.641,fisher_task,2020.1.3,Win32,60,0.146296296,-0.302777778,1,0,0,6.7812,scale,0,2,2,2,1,0.174513954,0.141421356,0.349027907,0.282842712,stimuli/training/50_left.png,stimuli/training/50_right.png,,,,,,,,,,,,,
,,,,,,$2516048461,2020-07-08_20h06.35.641,fisher_task,2020.1.3,Win32,60,-0.109259259,-0.265740741,1,0,0,2.948585,scale,0,3,3,3,1,0.349027907,0.282842712,0.174513954,0.141421356,stimuli/training/50_left.png,stimuli/training/50_right.png,,,,,,,,,,,,,
,,,,,,$2516048461,2020-07-08_20h06.35.641,fisher_task,2020.1.3,Win32,60,0.000925926,-0.241666667,1,0,0,3.23148,scale,0,4,4,4,1,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/training/50_left.png,stimuli/training/50_right.png,,,,,,,,,,,,,
,,,,,,$2516048461,2020-07-08_20h06.35.641,fisher_task,2020.1.3,Win32,60,0.17037037,-0.419444444,1,0,0,2.532365,scale,0,5,5,5,1,0.174513954,0.141421356,0.349027907,0.282842712,stimuli/training/20_left.png,stimuli/training/20_right.png,,,,,,,,,,,,,
,,,,,,$2516048461,2020-07-08_20h06.35.641,fisher_task,2020.1.3,Win32,60,-0.165740741,-0.418518519,1,0,0,2.29861,scale,0,6,6,6,1,0.349027907,0.282842712,0.174513954,0.141421356,stimuli/training/80_left.png,stimuli/training/80_right.png,,,,,,,,,,,,,
,,,,,,$2516048461,2020-07-08_20h06.35.641,fisher_task,2020.1.3,Win32,60,0.155555556,-0.339814815,1,0,0,2.2493,scale,0,7,7,7,1,0.1234,0.1,0.3702,0.3,stimuli/training/30_left.png,stimuli/training/30_right.png,,,,,,,,,,,,,
,,,,,,$2516048461,2020-07-08_20h06.35.641,fisher_task,2020.1.3,Win32,60,-0.15462963,-0.418518519,1,0,0,2.36597,scale,0,8,8,8,1,0.3702,0.3,0.1234,0.1,stimuli/training/70_left.png,stimuli/training/70_right.png,,,,,,,,,,,,,
,,,,,,$2516048461,2020-07-08_20h06.35.641,fisher_task,2020.1.3,Win32,60,-0.171296296,-0.435185185,1,0,0,2.365335,scale,0,9,9,9,1,0.326485712,0.264575131,0.21373507,0.173205081,stimuli/training/90_left.png,stimuli/training/90_right.png,,,,,,,,,,,,,
,,,,,,$2516048461,2020-07-08_20h06.35.641,fisher_task,2020.1.3,Win32,60,0.178703704,-0.434259259,1,0,0,2.14888,scale,0,10,10,10,1,0.21373507,0.173205081,0.326485712,0.264575131,stimuli/training/10_left.png,stimuli/training/10_right.png,,,,,,,,,,,,,
,,,,,,$2516048461,2020-07-08_20h06.35.641,fisher_task,2020.1.3,Win32,60,0.00462963,-0.232407407,1,0,0,4.66491,scale,,,,,,0.21373507,0.173205081,0.326485712,0.264575131,stimuli/lakes/306073_left.png,stimuli/lakes/306073_right.png,space,6.108915,,0,0,0,73,1,,,,,
,,,,,,$2516048461,2020-07-08_20h06.35.641,fisher_task,2020.1.3,Win32,60,0.000925926,-0.24537037,1,0,0,5.348035,scale,,,,,,0.1234,0.1,0.3702,0.3,stimuli/lakes/107098_left.png,stimuli/lakes/107098_right.png,,,,0,1,1,98,1,,,,,
,,,,,,$2516048461,2020-07-08_20h06.35.641,fisher_task,2020.1.3,Win32,60,0.177777778,-0.431481481,1,0,0,2.065565,scale,,,,,,0.174513954,0.141421356,0.349027907,0.282842712,stimuli/lakes/202011_left.png,stimuli/lakes/202011_right.png,,,,0,2,2,11,1,,,,,
