keySpace.keys,instructions.thisRepN,instructions.thisTrialN,instructions.thisN,instructions.thisIndex,instructions.ran,participant,date,expName,psychopyVersion,OS,frameRate,fbclid,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,widthBasketLeft,heightBasketLeft,widthBasketRight,heightBasketRight,leftLake,rightLake,space2.keys,space2.rt,space1.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,space1.rt,finalSpace1.keys,finalSpace1.rt,finalSpace2.keys,finalSpace2.rt
,0,0,0,0,1,$5ec2ccb9bb23250d7ee425db,2020-07-20_14h38.56.898,fisher_task,2020.1.3,Win32,60,IwAR3TdExosWQJQBjV0ss3H59nqxlsONppn7wAdTuJqZAFVcI318DU3gLgoWg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,$5ec2ccb9bb23250d7ee425db,2020-07-20_14h38.56.898,fisher_task,2020.1.3,Win32,60,IwAR3TdExosWQJQBjV0ss3H59nqxlsONppn7wAdTuJqZAFVcI318DU3gLgoWg,0.172222238,-0.410185199,1,0,0,2.4575,scale,0,0,0,0,1,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/training/20_left.png,stimuli/training/20_right.png,,,,,,,,,,,,,
,,,,,,$5ec2ccb9bb23250d7ee425db,2020-07-20_14h38.56.898,fisher_task,2020.1.3,Win32,60,IwAR3TdExosWQJQBjV0ss3H59nqxlsONppn7wAdTuJqZAFVcI318DU3gLgoWg,-0.172222212,-0.399074087,1,0,0,1.499585,scale,0,1,1,1,1,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/training/80_left.png,stimuli/training/80_right.png,,,,,,,,,,,,,
,,,,,,$5ec2ccb9bb23250d7ee425db,2020-07-20_14h38.56.898,fisher_task,2020.1.3,Win32,60,IwAR3TdExosWQJQBjV0ss3H59nqxlsONppn7wAdTuJqZAFVcI318DU3gLgoWg,0.097222237,-0.280555567,1,0,0,2.061485,scale,0,2,2,2,1,0.174513954,0.141421356,0.349027907,0.282842712,stimuli/training/50_left.png,stimuli/training/50_right.png,,,,,,,,,,,,,
,,,,,,$5ec2ccb9bb23250d7ee425db,2020-07-20_14h38.56.898,fisher_task,2020.1.3,Win32,60,IwAR3TdExosWQJQBjV0ss3H59nqxlsONppn7wAdTuJqZAFVcI318DU3gLgoWg,-0.114814803,-0.262037048,1,0,0,2.10383,scale,0,3,3,3,1,0.349027907,0.282842712,0.174513954,0.141421356,stimuli/training/50_left.png,stimuli/training/50_right.png,,,,,,,,,,,,,
,,,,,,$5ec2ccb9bb23250d7ee425db,2020-07-20_14h38.56.898,fisher_task,2020.1.3,Win32,60,IwAR3TdExosWQJQBjV0ss3H59nqxlsONppn7wAdTuJqZAFVcI318DU3gLgoWg,0.0851852,-0.262962974,1,0,0,2.76921,scale,0,4,4,4,1,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/training/50_left.png,stimuli/training/50_right.png,,,,,,,,,,,,,
,,,,,,$5ec2ccb9bb23250d7ee425db,2020-07-20_14h38.56.898,fisher_task,2020.1.3,Win32,60,IwAR3TdExosWQJQBjV0ss3H59nqxlsONppn7wAdTuJqZAFVcI318DU3gLgoWg,0.17870372,-0.425000014,1,0,0,1.644325,scale,0,5,5,5,1,0.174513954,0.141421356,0.349027907,0.282842712,stimuli/training/20_left.png,stimuli/training/20_right.png,,,,,,,,,,,,,
,,,,,,$5ec2ccb9bb23250d7ee425db,2020-07-20_14h38.56.898,fisher_task,2020.1.3,Win32,60,IwAR3TdExosWQJQBjV0ss3H59nqxlsONppn7wAdTuJqZAFVcI318DU3gLgoWg,-0.174074007,-0.422222236,1,0,0,1.352805,scale,0,6,6,6,1,0.349027907,0.282842712,0.174513954,0.141421356,stimuli/training/80_left.png,stimuli/training/80_right.png,,,,,,,,,,,,,
,,,,,,$5ec2ccb9bb23250d7ee425db,2020-07-20_14h38.56.898,fisher_task,2020.1.3,Win32,60,IwAR3TdExosWQJQBjV0ss3H59nqxlsONppn7wAdTuJqZAFVcI318DU3gLgoWg,0.159259275,-0.41666668,1,0,0,1.311815,scale,0,7,7,7,1,0.1234,0.1,0.3702,0.3,stimuli/training/30_left.png,stimuli/training/30_right.png,,,,,,,,,,,,,
,,,,,,$5ec2ccb9bb23250d7ee425db,2020-07-20_14h38.56.898,fisher_task,2020.1.3,Win32,60,IwAR3TdExosWQJQBjV0ss3H59nqxlsONppn7wAdTuJqZAFVcI318DU3gLgoWg,-0.185185175,-0.439814829,1,0,0,1.54105,scale,0,8,8,8,1,0.3702,0.3,0.1234,0.1,stimuli/training/70_left.png,stimuli/training/70_right.png,,,,,,,,,,,,,
